33,Manchester United,6,3,4,9,6,0,28,27,19,13
34,Newcastle,4,3,6,3,3,8,16,11,22,22
36,Fulham,2,4,8,3,7,4,8,14,18,15
39,Wolves,5,4,4,4,4,7,15,13,14,23
40,Liverpool,7,2,6,5,5,3,22,25,18,18
41,Southampton,5,2,6,4,4,7,17,18,16,33
42,Arsenal,5,3,5,6,2,6,16,19,14,14
44,Burnley,4,6,5,3,3,7,12,8,16,20
45,Everton,5,2,6,9,2,3,18,21,20,15
46,Leicester,6,1,6,10,4,1,20,28,19,13
47,Tottenham,7,3,4,6,3,4,25,21,14,14
48,West Ham,8,3,3,6,3,4,23,19,15,16
49,Chelsea,7,5,2,7,3,4,25,19,11,14
50,Manchester City,12,2,2,9,3,1,36,25,13,8
51,Brighton,1,7,6,4,4,5,13,14,19,16
52,Crystal Palace,4,5,5,5,2,7,14,16,21,26
60,West Brom,2,5,8,1,4,8,9,11,33,23
62,Sheffield Utd,3,1,11,1,1,11,10,6,22,23
63,Leeds,5,2,6,6,0,8,19,24,17,29
66,Aston Villa,5,2,5,7,2,5,20,18,16,11
