33,Manchester United,5,3,4,8,4,0,25,25,18,13
34,Newcastle,4,2,6,3,2,7,15,10,21,19
36,Fulham,1,4,7,2,5,4,7,12,17,14
39,Wolves,4,4,4,4,2,6,14,11,14,18
40,Liverpool,7,2,3,4,5,3,22,23,14,18
41,Southampton,5,1,6,3,4,4,16,14,15,24
42,Arsenal,5,3,4,5,1,6,16,15,13,12
44,Burnley,4,2,5,3,3,6,9,8,13,16
45,Everton,4,2,5,7,2,2,16,18,17,13
46,Leicester,6,1,5,8,3,1,19,23,16,10
47,Tottenham,5,3,4,5,3,3,17,19,13,12
48,West Ham,6,3,3,6,3,3,19,18,14,14
49,Chelsea,6,4,2,6,2,4,23,17,11,13
50,Manchester City,9,2,1,7,3,1,25,21,7,7
51,Brighton,1,7,4,4,4,4,11,14,15,15
52,Crystal Palace,4,3,5,4,2,6,14,13,21,21
60,West Brom,1,4,7,1,3,8,8,11,32,23
62,Sheffield Utd,2,1,9,1,1,10,9,6,18,22
63,Leeds,4,2,5,6,0,6,16,24,16,26
66,Aston Villa,5,1,4,6,2,4,19,17,14,10
